report_start,report_end,exchange,bps_bucket,kpi,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,pct_of_market_liqudity,exchange_uptime_pct,avg_bid_ask_spread_bps,trading_volume_ms,source_file
14/5/2025,1/6/2025,OKX,200,304400,347400,897800,1.141261498,114.1261498,TRUE,38.69458677,100,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
1/7/2025,1/8/2025,Binance,15,42100,45900,306000,1.090261283,109.0261283,TRUE,15,99.89,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,25,105300,118000,496600,1.120607787,112.0607787,TRUE,23.76157874,99.89,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,50,140400,158900,708800,1.131766382,113.1766382,TRUE,22.41817156,99.89,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,100,210700,240400,891700,1.140958709,114.0958709,TRUE,26.95973982,99.89,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,200,351100,400700,1052000,1.141270293,114.1270293,TRUE,38.08935361,99.89,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,15,28100,30700,89900,1.09252669,109.252669,TRUE,34.14905451,99.84,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,25,70300,78600,189200,1.118065434,111.8065434,TRUE,41.54334038,99.84,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,50,105400,119200,312600,1.130929791,113.0929791,TRUE,38.13179782,99.84,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,100,140500,159800,440500,1.137366548,113.7366548,TRUE,36.276958,99.84,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,200,281000,319800,650400,1.138078292,113.8078292,TRUE,49.1697417,99.84,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,15,7000,7800,115700,1.114285714,111.4285714,TRUE,6.741573034,99.76,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,25,21100,23600,146800,1.118483412,111.8483412,TRUE,16.07629428,99.76,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,50,31600,36000,172400,1.139240506,113.9240506,TRUE,20.88167053,99.76,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,100,42200,48700,194600,1.154028436,115.4028436,TRUE,25.02569373,99.76,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
