report_start,report_end,exchange,bps_bucket,obligation_usd,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,capture_pct_imc_over_market,capture_percent,uptime_pct,avg_bid_ask_spread_usd,avg_bid_ask_spread_bps,market_share_pct,source_file
1/7/2025,1/8/2025,Binance,100,210700,240400,891700,1.140958709,114.0958709,TRUE,0.26959739822810364,26.959739822810363,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,200,351100,400700,1052000,1.141270293,114.1270293,TRUE,0.380893536,38.08935361,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,15,28100,30700,89900,1.09252669,109.252669,TRUE,0.3414905450500556,34.14905450500556,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,25,70300,78600,189200,1.118065434,111.8065434,TRUE,0.4154334038054968,41.54334038054968,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,50,105400,119200,312600,1.130929791,113.0929791,TRUE,0.38131797824696095,38.13179782469609,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,100,140500,159800,440500,1.137366548,113.7366548,TRUE,0.3627695800227015,36.27695800227015,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,200,281000,319800,650400,1.138078292,113.8078292,TRUE,0.49169741697416974,49.169741697416974,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,15,7000,7800,115700,1.114285714,111.4285714,TRUE,0.06741573,6.741573033707865,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,25,21100,23600,146800,1.118483412,111.8483412,TRUE,0.16076294277929154,16.076294277929154,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,50,31600,36000,172400,1.139240506,113.9240506,TRUE,0.2088167053364269,20.88167053364269,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,100,42200,48700,194600,1.154028436,115.4028436,TRUE,0.25025693730729703,25.025693730729703,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,200,105400,120600,266400,1.144212524,114.4212524,TRUE,0.4527027027027027,45.27027027027027,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
